교육년도,지부코드,교육구분,교육반 코드,1월 교육 인원,1월 일수,2월 교육 인원,2월 일수,3월 교육 인원,3월 일수,4월 교육 인원,4월 일수,5월 교육 인원,5월 일수,6월 교육 인원,6월 일수,7월 교육 인원,7월 일수,8월 교육 인원,8월 일수,9월 교육 인원,9월 일수,10월 교육 인원,10월 일수,11월 교육 인원,11월 일수,12월 교육 인원,12월 일수,총 교육 인원,총 교육 일수
2019,강원지부,특별교육,법규준수,268,3,268,3,268,3,268,3,268,3,268,3,268,3,268,3,268,3,268,3,268,3,273,3,3221,36
2019,강원지부,긴급자동차,긴급자동차,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,40,2,50,2,490,24
2019,강원지부,특별교육,벌점감경교육,27,3,27,3,27,3,27,3,27,3,27,3,27,3,27,3,27,3,27,3,27,3,32,3,329,36
2019,강원지부,특별교육,음주2회차,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,19,4,151,48
2019,강원지부,특별교육,배려운전자,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,12,0,34,0
2019,강원지부,특별교육,음주3회차,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,12
2019,강원지부,고령운전자,고령운전자권장,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12
2019,충북지부,특별교육,음주1회차,437,30,437,30,437,30,437,30,437,30,437,30,437,30,437,30,437,30,437,30,437,30,445,35,5252,365
2019,충북지부,특별교육,현장참여교육,405,30,405,30,405,30,405,30,405,30,405,30,405,30,405,30,405,30,405,30,405,30,410,35,4865,365
2019,충북지부,특별교육,법규준수,255,30,255,30,255,30,255,30,255,30,255,30,255,30,255,30,255,30,255,30,255,30,256,35,3061,365
2019,충북지부,긴급자동차,긴급자동차,36,1,36,1,36,1,36,1,36,1,36,1,36,1,36,1,36,1,36,1,36,1,37,1,433,12
2019,충북지부,특별교육,벌점감경교육,26,30,26,30,26,30,26,30,26,30,26,30,26,30,26,30,26,30,26,30,26,30,27,35,313,365
2019,충북지부,특별교육,음주2회차,11,30,11,30,11,30,11,30,11,30,11,30,11,30,11,30,11,30,11,30,11,30,22,35,143,365
2019,충북지부,특별교육,배려운전자,2,30,2,30,2,30,2,30,2,30,2,30,2,30,2,30,2,30,2,30,2,30,10,35,32,365
2019,충북지부,특별교육,음주3회차,1,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,35,1,365
2019,대전세종충남지부,특별교육,음주1회차,958,30,958,30,958,30,958,30,958,30,958,30,958,30,958,30,958,30,958,30,958,30,960,35,11498,365
2019,대전세종충남지부,특별교육,현장참여교육,887,30,887,30,887,30,887,30,887,30,887,30,887,30,887,30,887,30,887,30,887,30,893,35,10650,365
2019,대전세종충남지부,특별교육,법규준수,558,30,558,30,558,30,558,30,558,30,558,30,558,30,558,30,558,30,558,30,558,30,563,35,6701,365
2019,대전세종충남지부,긴급자동차,긴급자동차,85,2,85,2,85,2,85,2,85,2,85,2,85,2,85,2,85,2,85,2,85,2,85,2,1020,24
2019,대전세종충남지부,특별교육,벌점감경교육,57,30,57,30,57,30,57,30,57,30,57,30,57,30,57,30,57,30,57,30,57,30,58,35,685,365
2019,대전세종충남지부,특별교육,음주2회차,26,30,26,30,26,30,26,30,26,30,26,30,26,30,26,30,26,30,26,30,26,30,28,35,314,365
2019,대전세종충남지부,특별교육,배려운전자,5,30,5,30,5,30,5,30,5,30,5,30,5,30,5,30,5,30,5,30,5,30,16,35,71,365
2019,대전세종충남지부,특별교육,음주3회차,2,30,0,30,0,30,0,30,0,30,0,30,1,30,0,30,0,30,0,30,0,30,0,35,2,365
2019,전북지부,특별교육,음주1회차,479,31,479,28,479,31,479,30,479,31,479,30,479,31,479,31,479,30,479,31,479,30,489,31,5758,365
2019,전북지부,특별교육,현장참여교육,444,31,444,28,444,31,444,30,444,31,444,30,444,31,444,31,444,30,444,31,444,30,449,31,5333,365
2019,전북지부,특별교육,법규준수,279,31,279,28,279,31,279,30,279,31,279,30,279,31,279,31,279,30,279,31,279,30,286,31,3355,365
2019,전북지부,긴급자동차,긴급자동차,42,31,42,28,42,31,42,30,42,31,42,30,42,31,42,31,42,30,42,31,42,30,49,31,511,365
2019,전북지부,특별교육,벌점감경교육,28,31,28,28,28,31,28,30,28,31,28,30,28,31,28,31,28,30,28,31,28,30,35,31,343,365
2019,전북지부,특별교육,음주2회차,13,31,13,28,13,31,13,30,13,31,13,30,13,31,13,31,13,30,13,31,13,30,14,31,157,365
2019,전북지부,특별교육,배려운전자,2,31,2,28,2,31,2,30,2,31,2,30,2,31,2,31,2,30,2,31,2,30,13,31,35,365
2019,전북지부,특별교육,음주3회차,1,31,0,28,0,31,0,30,0,31,0,30,0,31,0,31,0,30,0,31,0,30,0,31,1,365
2019,광주전남지부,특별교육,음주1회차,1039,30,1039,30,1039,30,1039,30,1039,30,1039,30,1039,30,1039,30,1039,30,1039,30,1039,30,1048,35,12477,365
2019,광주전남지부,특별교육,현장참여교육,963,30,963,30,963,30,963,30,963,30,963,30,963,30,963,30,963,30,963,30,963,30,964,35,11557,365
2019,광주전남지부,특별교육,법규준수,605,30,605,30,605,30,605,30,605,30,605,30,605,30,605,30,605,30,605,30,605,30,615,35,7270,365
2019,광주전남지부,긴급자동차,긴급자동차,92,3,92,3,92,3,92,3,92,3,92,3,92,3,92,3,92,3,92,3,92,3,95,3,1107,36
2019,광주전남지부,특별교육,벌점감경교육,61,30,61,30,61,30,61,30,61,30,61,30,61,30,61,30,61,30,61,30,61,30,72,35,743,365
2019,광주전남지부,특별교육,음주2회차,28,30,28,30,28,30,28,30,28,30,28,30,28,30,28,30,28,30,28,30,28,30,32,35,340,365
2019,광주전남지부,특별교육,배려운전자,6,30,6,30,6,30,6,30,6,30,6,30,6,30,6,30,6,30,6,30,6,30,11,35,77,365
2019,광주전남지부,특별교육,음주3회차,2,30,1,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,35,2,365
2019,경북지부,특별교육,음주1회차,724,31,724,28,724,31,724,30,724,31,724,30,724,31,724,31,724,30,724,31,724,30,726,31,8690,365
2019,경북지부,특별교육,현장참여교육,670,31,670,28,670,31,670,30,670,31,670,30,670,31,670,31,670,30,670,31,670,30,679,31,8049,365
2019,경북지부,특별교육,법규준수,422,31,422,28,422,31,422,30,422,31,422,30,422,31,422,31,422,30,422,31,422,30,422,31,5064,365
2019,경북지부,긴급자동차,긴급자동차,64,31,64,28,64,31,64,30,64,31,64,30,64,31,64,31,64,30,64,31,64,30,67,31,771,365
2019,경북지부,특별교육,벌점감경교육,43,31,43,28,43,31,43,30,43,31,43,30,43,31,43,31,43,30,43,31,43,30,45,31,518,365
2019,경북지부,특별교육,음주2회차,19,31,19,28,19,31,19,30,19,31,19,30,19,31,19,31,19,30,19,31,19,30,28,31,237,365
2019,경북지부,특별교육,배려운전자,4,31,4,28,4,31,4,30,4,31,4,30,4,31,4,31,4,30,4,31,4,30,10,31,54,365
2019,경북지부,특별교육,음주3회차,2,31,0,28,0,31,0,30,0,31,0,30,0,31,0,31,0,30,0,31,0,30,0,31,2,365
2019,울산경남지부,특별교육,음주1회차,1265,20,1265,20,1265,20,1265,20,1265,20,1265,20,1265,20,1265,20,1265,20,1265,20,1265,20,1271,25,15186,365
2019,울산경남지부,특별교육,현장참여교육,1172,20,1172,20,1172,20,1172,20,1172,20,1172,20,1172,20,1172,20,1172,20,1172,20,1172,20,1174,25,14066,365
2019,울산경남지부,특별교육,법규준수,737,30,737,30,737,30,737,30,737,30,737,30,737,30,737,30,737,30,737,30,737,30,742,35,8849,365
2019,울산경남지부,긴급자동차,긴급자동차,112,20,112,20,112,20,112,20,112,20,112,20,112,20,112,20,112,20,112,20,112,20,115,25,1347,245
2019,울산경남지부,특별교육,벌점감경교육,75,30,75,30,75,30,75,30,75,30,75,30,75,30,75,30,75,30,75,30,75,30,80,35,905,365
2019,울산경남지부,특별교육,음주2회차,34,30,34,30,34,30,34,30,34,30,34,30,34,30,34,30,34,30,34,30,34,30,40,35,414,365
2019,울산경남지부,특별교육,배려운전자,7,30,7,30,7,30,7,30,7,30,7,30,7,30,7,30,7,30,7,30,7,30,17,35,94,365
2019,울산경남지부,특별교육,음주3회차,2,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,35,2,365
2019,제주지부,특별교육,음주1회차,205,30,205,30,205,30,205,30,205,30,205,30,205,30,205,30,205,30,205,30,205,30,209,35,2464,365
2019,제주지부,특별교육,현장참여교육,190,30,190,30,190,30,190,30,190,30,190,30,190,30,190,30,190,30,190,30,190,30,192,35,2282,365
2019,제주지부,특별교육,법규준수,119,30,119,30,119,30,119,30,119,30,119,30,119,30,119,30,119,30,119,30,119,30,125,35,1434,365
2019,제주지부,긴급자동차,긴급자동차,20,1,18,1,18,1,18,1,19,1,18,1,18,1,18,1,18,1,18,1,18,1,18,1,219,12
2019,제주지부,특별교육,벌점감경교육,12,30,12,30,12,30,12,30,12,30,12,30,12,30,12,30,12,30,12,30,12,30,15,35,147,365
2019,제주지부,특별교육,음주2회차,5,30,5,30,5,30,5,30,5,30,5,30,5,30,5,30,5,30,5,30,5,30,12,35,67,365
2019,제주지부,특별교육,음주3회차,1,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,35,1,365
2019,제주지부,특별교육,배려운전자,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,4,35,15,365
