"AGNC_DRVG_CMPN_ID","AGNC_DRVG_WDAR_ARA_SCTIN_NM","AGNC_DRVG_ARA_SCTIN_NM","AGNC_DRVG_CMPN_NM","AGNC_DRVG_RPRST_NM","AGNC_DRVG_TLNO","AGNC_DRVG_WEBS_NM",DATA_CONNO,"OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"DARW00167","서울","강남","뻐꾸기","강성종","1688-4444",NULL,83,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00169","서울","강남","삼오공㈜","황창규","1588-0350",NULL,84,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00171","서울","강남","삼육","조정우","1544-8594",NULL,85,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00173","서울","강남","삼육구","최경화","080-080-3698",NULL,86,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00175","서울","강남","삼천사","장대석","1588-3004",NULL,87,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00177","서울","강남","상록수㈜","조동근","1588-5007",NULL,88,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00179","서울","강남","세븐","배형묵","080-777-7777",NULL,89,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00181","서울","강남","세종콜","양창선","080-999-8000",NULL,90,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00183","서울","강남","세종콜","이지호","080-773-3333",NULL,91,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00185","서울","강남","수호천사","유병주",NULL,NULL,92,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00187","서울","강남","야호","심상미","1644-1200","www.eyaho.co.kr",93,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00189","서울","강남","신비","배지윤","02-484-4882",NULL,94,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00191","서울","강남","빅(강남)","손정명","1588-1988",NULL,95,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00193","서울","강남","붉은악마","최근태","080-777-0911","www.reddevilcorea.com",96,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00195","서울","강남","바로콜대리운전","황동열","1600-1777",NULL,97,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00197","서울","강남","대통","오풍교","1688-8228",NULL,98,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00199","서울","강남","대한민국(씨티콜)","박성빈","080-386-1212",NULL,99,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00201","서울","강남","도시속에 달구지","정동수","1588-3652",NULL,100,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00203","서울","강남","동서남북","김혜경","080-888-9999",NULL,101,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00205","서울","강남","드라이브24시","안효진","080-009-7272",NULL,102,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00207","서울","강남","드라이브서비스","김원칠","080-2222-1111","www.driveservice.co.kr",103,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00209","서울","강남","드라이빙911","문대영","1566-9911",NULL,104,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00211","서울","강남","딸딸이대리운전","배철훈","1544-3515",NULL,105,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00213","서울","강남","럭키","최영묵","080-9999-7777",NULL,106,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00215","서울","강남","레이디명품대리운전","정정순","1644-0023",NULL,107,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00217","서울","강남","로얄대리","임병수","080-933-8585",NULL,108,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00219","서울","강북","청방","김승범","1588-3333","www.chungbang.com",109,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00221","서울","강북","친절","김말균","1544-1911",NULL,110,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00223","서울","강북","친절콜","한창훈","1588-9956",NULL,111,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00225","서울","강북","코리아운전대행","주성준","080-226-2011",NULL,112,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00227","서울","강북","콜플러스","박양근","1644-0345",NULL,113,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00229","서울","강북","천년콜","한윤희","080-9959-080",NULL,114,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00231","서울","강북","차차","공유성","080-369-8882",NULL,115,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00233","서울","강북","차사랑","조재원","1544-1588",NULL,116,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00235","서울","강북","차대리콜","신형웅","080-018-9999",NULL,117,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00237","서울","강북","조은","이미라","1577-1571",NULL,118,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00239","서울","강북","제일콜","배상범","1688-0202",NULL,119,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00241","서울","강북","일오","홍기환","1588-7228",NULL,120,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00243","서울","강북","크로바","이용표","080-080-8888",NULL,121,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00245","서울","강북","파워대리운전","임순이","1600-6111",NULL,122,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00247","서울","강북","황제대리","임해용","2234-4420",NULL,123,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00249","서울","강북","TG대리운전","기영철",NULL,NULL,124,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00251","서울","강북","OK콜","정하식","1544-3337",NULL,125,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00253","서울","강북","IF","박준용","080-010-7942",NULL,126,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00255","서울","강북","핸들포유","이범주","1588-5565","www.handle4u.com",127,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00257","서울","강북","한피플","이근희",NULL,NULL,128,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00259","서울","강북","코스텍알㈜","김정학","1577-5510",NULL,129,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00261","서울","강북","골든벨서비스","김동진","080-248-0101",NULL,130,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00263","서울","강북","한콜","이상민","1688-0101",NULL,131,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00265","서울","강북","한일콜","강영선","080-080-1234",NULL,132,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00267","서울","강북","하나로","이영재","080-111-1111","www.080hanaro.co.kr",133,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00269","서울","강북","플러스","김성기","080-303-8008",NULL,134,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00271","서울","강북","플라워콜","남길우","080-717-0077",NULL,135,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00273","서울","강북","전국(용산)","맹동훈","080-877-7777",NULL,136,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00275","서울","강북","2.7대리","조연희","1544-2709",NULL,137,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00277","서울","강북","기사십분","김준호","1688-9410",NULL,138,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00279","서울","강북","길","안연희","080-400-4004",NULL,139,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00281","서울","강북","나이스(용산)","신문기","080-555-9494",NULL,140,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00283","서울","강북","네트워크대리운전",NULL,NULL,NULL,141,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00285","서울","강북","대한서비스","양태석","080-222-2227",NULL,142,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00287","서울","강북","덕원","최용석","080-410-2233",NULL,143,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00289","서울","강북","드라이브프리닷컴","김태성","1588-7782",NULL,144,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00291","서울","강북","마이콜","김지수","080-011414",NULL,145,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00293","서울","강북","만사형통","유응렬","080-201-1234",NULL,146,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00295","서울","강북","굿프렌드","김민성",NULL,NULL,147,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00297","서울","강북","굿서비스","조재석","1599-5599","www.good5599.com",148,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00299","서울","강북","88","유기환","080-080-0088",NULL,149,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00301","서울","강북","7","노민희",NULL,NULL,150,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00303","서울","강북","516대리","전 휘","1588-5160",NULL,151,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00305","서울","강북","가나대리운전24시","이춘규","1566-9401",NULL,152,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00307","서울","강북","고고","엄춘진","1544-5590",NULL,153,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00309","서울","강북","공공육","김동환","080-000-1234",NULL,154,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00311","서울","강북","국민콜","김복규","080-5999-080",NULL,155,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00313","서울","강북","굿대리운전","황기태","1544-0154",NULL,156,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00315","서울","강북","굿맨","이종욱","1577-5002",NULL,157,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00317","서울","강북","메이저","박진홍","1588-1146",NULL,158,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00319","서울","강북","모빌드라이브(용산)","박광조","1544-8294",NULL,159,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00321","서울","강북","미래","김경욱","1566-9500",NULL,160,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00323","서울","강북","예스콜(동대문)","김진덕","080-5100-5100",NULL,161,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00325","서울","강북","오사랑","이준호","1588-4460",NULL,162,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00327","서울","강북","오사이오","김기동","080-545-5425",NULL,163,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00329","서울","강북","와우콜(노원)","최규진","080-986-3333",NULL,164,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00331","서울","강북","우리대리","최성진","080-111-1112",NULL,165,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00333","서울","강북","운수대통","김영삼","02-2088-7494",NULL,166,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00335","서울","강북","유정대리운전","원광식","1600-3652",NULL,167,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00337","서울","강북","월드컵","송민호","1644-2002",NULL,168,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00339","서울","강북","육육콜","김윤철","080-380-6666",NULL,169,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00341","서울","강북","야호","김복영","1588-6742",NULL,170,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00343","서울","강북","애니콜대리운전","오행주","1688-1694",NULL,171,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00345","서울","강북","미소","이웅휴","1566-2662",NULL,172,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00347","서울","강북","방방곡곡(팔팔)","이경숙","1544-0488",NULL,173,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00349","서울","강북","베스트콜","이진옥","1588-9967 080-7775-080",NULL,174,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00351","서울","강북","붕붕","김동현","080-080-1020",NULL,175,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00353","서울","강북","브이아이피","이덕호","1577-4666",NULL,176,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00355","서울","강북","사랑콜","배영웅","1588-0944",NULL,177,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00357","서울","강북","서울콜","금종오","080-789-9595 1588-9455",NULL,178,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00359","서울","강북","세연콜","안세홍","080-386-9999",NULL,179,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00361","서울","강북","스피드㈜","김종진","1588-2714",NULL,180,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00363","서울","강북","이이팔오","김진우","1588-2285",NULL,181,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00365","서울","도봉","조은상사","권영덕","02-900-2800",NULL,182,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00367","서울","서초","씨티즌유니언","김영채","02-2175-3950",NULL,183,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00369","서울","용산","긴급출동","엄일섭","02-6359-5333",NULL,184,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00371","인천","인천","하이콜","홍재선","050-2294-2294",NULL,185,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00373","인천","인천","퍼스트","우종만","032-207-4111",NULL,186,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00375","인천","인천","OK","문준순","032-422-3494",NULL,187,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00377","인천","인천","와따대리운전","전종진",NULL,NULL,188,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00379","인천","인천","4005대리운전","임영민",NULL,NULL,189,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00381","인천","인천","오대리운전","오영문",NULL,NULL,190,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00383","인천","인천","쎄븐","조병철",NULL,NULL,191,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00385","인천","인천","쎄븐대리","이응곤",NULL,NULL,192,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00387","인천","인천","쎄븐대리운전","양희승",NULL,NULL,193,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00389","인천","인천","세븐대리운전","신현덕",NULL,NULL,194,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00391","인천","인천","사랑투대리운전","이복순",NULL,NULL,195,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00393","인천","인천","사랑투대리운전","김상일",NULL,NULL,196,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00395","인천","인천","사천오대리","임영민","1600-4005","www.4005.co.kr",197,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00397","인천","인천","진주만 대리","이정민","1588-1941",NULL,198,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00399","인천","인천","오대리운전","박병훈",NULL,NULL,199,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00401","인천","인천","오대리운전","한동석",NULL,NULL,200,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00403","인천","인천","1911대리운전",NULL,NULL,NULL,201,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00405","인천","인천","계양대리운전","이종현","080-579-0800",NULL,202,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00407","인천","인천","공일일대리운전","심우식","1588-8011",NULL,203,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00409","인천","인천","대표대리운전","류순상","1688-6666","www.daepyo.com",204,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00411","인천","인천","스타트라인","김충주","1566-2206",NULL,205,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00413","인천","인천","씩스콜","박수연","032-666-6666",NULL,206,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00415","인천","인천","오대리운전","이기복","032-555-5555",NULL,207,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00417","인천","인천","오-대리","이수동",NULL,NULL,208,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00419","인천","인천","오대리운전","이상식",NULL,NULL,209,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00421","인천","인천","오대리운전","신경숙",NULL,NULL,210,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00423","인천","인천","오대리운전","김윤섭",NULL,NULL,211,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00425","인천","인천","5-대리운전","김영호",NULL,NULL,212,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00427","인천","인천","오대리운전","서재실",NULL,NULL,213,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00429","인천","인천","11","심우식","1588-8011",NULL,214,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00431","경기","고양","VIP","배우한","080-080-0801",NULL,215,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00433","경기","고양","Safe","김인철","080-999-9998",NULL,216,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00435","경기","고양","Q","김정희",NULL,NULL,217,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00437","경기","고양","호산나대리","황호현","1544-9410",NULL,218,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00439","경기","고양","일산에있는","정미옥","080-369-3699",NULL,219,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00441","경기","고양","e-편한","방인숙","1544-5513",NULL,220,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00443","경기","고양","친구","기우윤","1566-5479",NULL,221,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00445","경기","고양","온누리","허미라",NULL,NULL,222,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00447","경기","고양","아이하나로","노정규","1688-3004",NULL,223,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00449","경기","고양","스마일","김문희","031-906-5677",NULL,224,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00451","경기","고양","세븐","배은석","1544-1385",NULL,225,"I","20201125000000",NULL,NULL,"N",NULL
